"time","signal","delayedSignals[5]","delayedSignals[4]","delayedSignals[3]","delayedSignals[2]","delayedSignals[1]"
0.474,0.16263716519488378,0.448383216090032,0.8881364488135444,0.988651744737914,0.7115356772092855,0.16263716519488378
0.476,0.15022558912075712,0.4595798606214876,0.8938414241512636,0.986685944207868,0.7026499697988492,0.15022558912075712
0.478,0.13779029068463847,0.4707039321653323,0.8994052515663709,0.9845643345292054,0.6936533058128049,0.13779029068463847
0.48,0.12533323356430454,0.4817536741017151,0.9048270524660195,0.9822872507286887,0.6845471059286888,0.12533323356430454
0.482,0.11285638487348187,0.49272734154829134,0.9101059706849955,0.9798550523842469,0.6753328081210246,0.11285638487348187
0.484,0.10036171485121498,0.5036232016357606,0.9152411726209174,0.9772681235681935,0.6660118674342517,0.10036171485121498
0.486,0.08785119655074315,0.5144395337815062,0.9202318473658702,0.9745268727865772,0.6565857557529564,0.08785119655074315
0.488,0.07532680552793304,0.5251746299612955,0.9250772068344579,0.971631732914674,0.6470559615694442,0.07532680552793304
0.49,0.06279051952931358,0.5358267949789965,0.9297764858882512,0.9685831611286312,0.6374239897486899,0.06279051952931358
0.492,0.05024431817976966,0.546394346734269,0.9343289424566119,0.965381638833274,0.6276913612907006,0.05024431817976966
0.494,0.037690182669934534,0.5568756164881878,0.938733857653874,0.9620276715860859,0.6178596130903343,0.037690182669934534
0.496,0.025130095443337813,0.5672689491267564,0.9429905358928643,0.958521789017376,0.6079302976946053,0.025130095443337813
0.498,0.012566039883352836,0.5775727034222674,0.9470983049947442,0.9548645447466431,0.5979049830575187,0.012566039883352836
0.5,1.2246467991473532e-16,0.587785252292473,0.9510565162951534,0.9510565162951536,0.5877852522924732,1.2246467991473532e-16
0.502,-0.012566039883352592,0.5979049830575187,0.9548645447466428,0.9470983049947443,0.5775727034222676,-0.012566039883352592
0.504,-0.02513009544333757,0.6079302976946053,0.9585217890173758,0.9429905358928645,0.5672689491267564,-0.02513009544333757
0.506,-0.03769018266993429,0.6178596130903342,0.9620276715860858,0.9387338576538742,0.5568756164881878,-0.03769018266993429
0.508,-0.05024431817976942,0.6276913612907004,0.9653816388332739,0.9343289424566121,0.5463943467342692,-0.05024431817976942
0.51,-0.06279051952931335,0.6374239897486895,0.9685831611286311,0.9297764858882515,0.535826794978997,-0.06279051952931335
0.512,-0.07532680552793279,0.6470559615694441,0.9716317329146739,0.925077206834458,0.525174629961296,-0.07532680552793279
0.514,-0.0878511965507429,0.6565857557529564,0.9745268727865771,0.9202318473658704,0.5144395337815066,-0.0878511965507429
0.516,-0.10036171485121473,0.6660118674342516,0.9772681235681935,0.9152411726209176,0.5036232016357609,-0.10036171485121473
0.518,-0.11285638487348164,0.6753328081210244,0.9798550523842469,0.9101059706849957,0.49272734154829156,-0.11285638487348164
0.52,-0.12533323356430429,0.6845471059286886,0.9822872507286886,0.9048270524660195,0.4817536741017156,-0.12533323356430429
0.522,-0.13779029068463822,0.6936533058128049,0.9845643345292053,0.8994052515663712,0.4707039321653328,-0.13779029068463822
0.524,-0.15022558912075687,0.7026499697988492,0.986685944207868,0.8938414241512639,0.459579860621488,-0.15022558912075687
0.526,-0.16263716519488353,0.7115356772092853,0.9886517447379141,0.8881364488135446,0.4483832160900323,-0.16263716519488353
0.528,-0.1750230589752761,0.7203090248879069,0.9904614256966512,0.8822912264349533,0.4371157666509329,-0.1750230589752761
0.53,-0.18738131458572477,0.7289686274214116,0.9921147013144779,0.8763066800438635,0.4257792915650729,-0.18738131458572477
0.532,-0.19970998051440725,0.7375131173581739,0.9936113105200084,0.8701837546695257,0.4143755809932843,-0.19970998051440725
0.534,-0.21200710992205454,0.7459411454241821,0.9949510169813002,0.8639234171928354,0.40290643571366275,-0.21200710992205454
0.536,-0.2242707609493812,0.7542513807361038,0.9961336091431725,0.8575266561936522,0.39137366683720237,-0.2242707609493812
0.538,-0.2364989970237248,0.7624425110114479,0.9971589002606139,0.8509944817946917,0.3797790955218014,-0.2364989970237248
0.54,-0.24868988716485502,0.7705132427757893,0.9980267284282716,0.844327925502015,0.36812455268467814,-0.24868988716485502
0.542,-0.26084150628989683,0.7784623015670233,0.9987369566060175,0.8375280400421418,0.3564118787132508,-0.26084150628989683
0.544,-0.2729519355173252,0.7862884321366188,0.9992894726405892,0.8305958991958129,0.34464292317451706,-0.2729519355173252
0.546,-0.2850192624699762,0.7939903986478353,0.9996841892832999,0.8235325976284276,0.3328195445229865,-0.2850192624699762
0.548,-0.2970415815770351,0.8015669848708765,0.9999210442038161,0.816339250717184,0.3209436098072097,-0.2970415815770351
0.55,-0.30901699437494773,0.8090169943749475,1,0.8090169943749475,0.3090169943749475,-0.30901699437494773
0.552,-0.3209436098072095,0.8163392507171839,0.9999210442038161,0.8015669848708769,0.2970415815770349,-0.3209436098072095
0.554,-0.33281954452298673,0.8235325976284275,0.9996841892832999,0.7939903986478355,0.28501926246997605,-0.33281954452298673
0.556,-0.3446429231745172,0.8305958991958126,0.9992894726405892,0.786288432136619,0.27295193551732505,-0.3446429231745172
0.558,-0.356411878713251,0.8375280400421417,0.9987369566060175,0.7784623015670235,0.26084150628989705,-0.356411878713251
0.56,-0.3681245526846783,0.8443279255020151,0.9980267284282716,0.7705132427757893,0.24868988716485482,-0.3681245526846783
0.562,-0.37977909552180117,0.8509944817946918,0.9971589002606139,0.7624425110114481,0.2364989970237246,-0.37977909552180117
0.564,-0.39137366683720215,0.8575266561936521,0.9961336091431726,0.7542513807361042,0.22427076094938134,-0.39137366683720215
0.566,-0.4029064357136621,0.863923417192835,0.9949510169813003,0.7459411454241824,0.21200710992205513,-0.4029064357136621
0.568,-0.41437558099328364,0.8701837546695255,0.9936113105200085,0.7375131173581742,0.1997099805144074,-0.41437558099328364
0.57,-0.42577929156507227,0.8763066800438635,0.9921147013144779,0.7289686274214117,0.18738131458572502,-0.42577929156507227
0.572,-0.43711576665093266,0.8822912264349531,0.9904614256966513,0.7203090248879073,0.1750230589752763,-0.43711576665093266
0.574,-0.4483832160900317,0.8881364488135444,0.9886517447379141,0.7115356772092857,0.16263716519488378,-0.4483832160900317
0.576,-0.45957986062148737,0.8938414241512636,0.9866859442078681,0.7026499697988494,0.15022558912075712,-0.45957986062148737
0.578,-0.4707039321653322,0.8994052515663709,0.9845643345292054,0.6936533058128052,0.13779029068463847,-0.4707039321653322
0.58,-0.481753674101715,0.9048270524660195,0.9822872507286887,0.6845471059286891,0.12533323356430454,-0.481753674101715
0.582,-0.4927273415482914,0.9101059706849955,0.979855052384247,0.6753328081210248,0.11285638487348187,-0.4927273415482914
0.584,-0.5036232016357604,0.9152411726209174,0.9772681235681936,0.6660118674342519,0.10036171485121498,-0.5036232016357604
0.586,-0.5144395337815061,0.9202318473658702,0.9745268727865773,0.6565857557529566,0.08785119655074315,-0.5144395337815061
0.588,-0.5251746299612954,0.9250772068344579,0.9716317329146741,0.6470559615694444,0.07532680552793304,-0.5251746299612954
0.59,-0.5358267949789964,0.9297764858882512,0.9685831611286313,0.6374239897486901,0.06279051952931358,-0.5358267949789964
0.592,-0.546394346734269,0.9343289424566119,0.9653816388332741,0.6276913612907008,0.05024431817976966,-0.546394346734269
0.594,-0.5568756164881876,0.938733857653874,0.962027671586086,0.6178596130903345,0.037690182669934534,-0.5568756164881876
0.596,-0.5672689491267562,0.9429905358928643,0.9585217890173761,0.6079302976946055,0.025130095443337813,-0.5672689491267562
