"time","delayedSignals[1,1]","delayedSignals[1,2]","delayedSignals[2,1]","delayedSignals[2,2]","delayedSignals[3,1]","delayedSignals[3,2]","delayedSignals[4,1]","delayedSignals[4,2]","delayedSignals[5,1]","delayedSignals[5,2]","signal[1]","signal[2]"
0.254,0.9996841892832999,-0.025130095443337407,0.8235325976284275,0.5672689491267565,0.33281954452298657,0.9429905358928645,0,1,0,1,0.9996841892832999,-0.025130095443337407
0.256,0.9992894726405892,-0.037690182669934576,0.8305958991958126,0.5568756164881881,0.344642923174517,0.9387338576538741,0,1,0,1,0.9992894726405892,-0.037690182669934576
0.258,0.9987369566060175,-0.05024431817976947,0.8375280400421417,0.5463943467342691,0.3564118787132507,0.934328942456612,0,1,0,1,0.9987369566060175,-0.05024431817976947
0.26,0.9980267284282716,-0.0627905195293134,0.8443279255020151,0.5358267949789965,0.3681245526846779,0.9297764858882515,0,1,0,1,0.9980267284282716,-0.0627905195293134
0.262,0.9971589002606139,-0.07532680552793262,0.8509944817946918,0.5251746299612957,0.37977909552180106,0.925077206834458,0,1,0,1,0.9971589002606139,-0.07532680552793262
0.264,0.9961336091431725,-0.0878511965507432,0.8575266561936523,0.5144395337815064,0.3913736668372024,0.9202318473658704,0,1,0,1,0.9961336091431725,-0.0878511965507432
0.266,0.9949510169813002,-0.100361714851215,0.8639234171928353,0.5036232016357609,0.40290643571366264,0.9152411726209175,0,1,0,1,0.9949510169813002,-0.100361714851215
0.268,0.9936113105200084,-0.1128563848734817,0.8701837546695257,0.49272734154829156,0.41437558099328414,0.9101059706849957,0,1,0,1,0.9936113105200084,-0.1128563848734817
0.27,0.9921147013144778,-0.12533323356430437,0.8763066800438637,0.48175367410171516,0.4257792915650727,0.9048270524660195,0,1,0,1,0.9921147013144778,-0.12533323356430437
0.272,0.9904614256966512,-0.13779029068463805,0.8822912264349532,0.47070393216533274,0.4371157666509328,0.8994052515663711,0,1,0,1,0.9904614256966512,-0.13779029068463805
0.274,0.988651744737914,-0.15022558912075715,0.8881364488135445,0.4595798606214879,0.44838321609003223,0.8938414241512638,0,1,0,1,0.988651744737914,-0.15022558912075715
0.276,0.986685944207868,-0.16263716519488358,0.8938414241512637,0.44838321609003245,0.4595798606214878,0.8881364488135446,0,1,0,1,0.986685944207868,-0.16263716519488358
0.278,0.9845643345292053,-0.17502305897527615,0.899405251566371,0.437115766650933,0.4707039321653325,0.8822912264349533,0,1,0,1,0.9845643345292053,-0.17502305897527615
0.28,0.9822872507286886,-0.18738131458572482,0.9048270524660196,0.42577929156507266,0.4817536741017153,0.8763066800438636,0,1,0,1,0.9822872507286886,-0.18738131458572482
0.282,0.9798550523842469,-0.1997099805144069,0.9101059706849955,0.4143755809932844,0.49272734154829134,0.8701837546695258,0,1,0,1,0.9798550523842469,-0.1997099805144069
0.284,0.9772681235681935,-0.21200710992205438,0.9152411726209174,0.40290643571366286,0.5036232016357606,0.8639234171928354,0,1,0,1,0.9772681235681935,-0.21200710992205438
0.286,0.9745268727865772,-0.22427076094938103,0.9202318473658702,0.3913736668372027,0.5144395337815062,0.8575266561936524,0,1,0,1,0.9745268727865772,-0.22427076094938103
0.288,0.971631732914674,-0.23649899702372443,0.9250772068344579,0.3797790955218013,0.5251746299612955,0.8509944817946921,0,1,0,1,0.971631732914674,-0.23649899702372443
0.29,0.9685831611286312,-0.24868988716485463,0.9297764858882512,0.36812455268467825,0.5358267949789965,0.8443279255020152,0,1,0,1,0.9685831611286312,-0.24868988716485463
0.292,0.965381638833274,-0.26084150628989666,0.9343289424566119,0.3564118787132509,0.546394346734269,0.8375280400421419,0,1,0,1,0.965381638833274,-0.26084150628989666
0.294,0.9620276715860859,-0.27295193551732505,0.938733857653874,0.34464292317451717,0.5568756164881878,0.8305958991958128,0,1,0,1,0.9620276715860859,-0.27295193551732505
0.296,0.958521789017376,-0.28501926246997605,0.9429905358928643,0.33281954452298684,0.5672689491267564,0.8235325976284276,0,1,0,1,0.958521789017376,-0.28501926246997605
0.298,0.9548645447466431,-0.29704158157703475,0.9470983049947442,0.3209436098072096,0.5775727034222674,0.816339250717184,0,1,0,1,0.9548645447466431,-0.29704158157703475
0.3,0.9510565162951536,-0.30901699437494734,0.9510565162951535,0.3090169943749476,0.587785252292473,0.8090169943749476,0,1,0,1,0.9510565162951536,-0.30901699437494734
0.302,0.9470983049947443,-0.3209436098072093,0.954864544746643,0.29704158157703503,0.5979049830575187,0.8015669848708766,0.01256603988335227,0.9999210442038161,0,1,0.9470983049947443,-0.3209436098072093
0.304,0.9429905358928645,-0.33281954452298657,0.9585217890173758,0.28501926246997616,0.6079302976946053,0.7939903986478354,0.025130095443337153,0.9996841892832999,0,1,0.9429905358928645,-0.33281954452298657
0.306,0.9387338576538742,-0.3446429231745169,0.9620276715860858,0.2729519355173254,0.6178596130903342,0.7862884321366189,0.03769018266993422,0.9992894726405892,0,1,0.9387338576538742,-0.3446429231745169
0.308,0.9343289424566121,-0.35641187871325064,0.9653816388332739,0.260841506289897,0.6276913612907004,0.7784623015670235,0.05024431817976925,0.9987369566060175,0,1,0.9343289424566121,-0.35641187871325064
0.31,0.9297764858882515,-0.368124552684678,0.9685831611286311,0.24868988716485496,0.6374239897486895,0.7705132427757893,0.06279051952931308,0.9980267284282716,0,1,0.9297764858882515,-0.368124552684678
0.312,0.925077206834458,-0.379779095521801,0.9716317329146739,0.23649899702372476,0.6470559615694441,0.7624425110114479,0.07532680552793244,0.9971589002606139,0,1,0.925077206834458,-0.379779095521801
0.314,0.9202318473658704,-0.3913736668372024,0.9745268727865771,0.22427076094938117,0.6565857557529564,0.7542513807361039,0.08785119655074289,0.9961336091431725,0,1,0.9202318473658704,-0.3913736668372024
0.316,0.9152411726209176,-0.4029064357136626,0.9772681235681935,0.21200710992205474,0.6660118674342516,0.7459411454241822,0.10036171485121463,0.9949510169813002,0,1,0.9152411726209176,-0.4029064357136626
0.318,0.9101059706849957,-0.41437558099328414,0.9798550523842469,0.199709980514407,0.6753328081210244,0.7375131173581739,0.11285638487348143,0.9936113105200084,0,1,0.9101059706849957,-0.41437558099328414
0.32,0.9048270524660195,-0.4257792915650727,0.9822872507286886,0.18738131458572474,0.6845471059286886,0.7289686274214116,0.125333233564304,0.9921147013144779,0,1,0.9048270524660195,-0.4257792915650727
0.322,0.8994052515663712,-0.4371157666509327,0.9845643345292053,0.17502305897527604,0.6936533058128049,0.7203090248879069,0.13779029068463783,0.9904614256966512,0,1,0.8994052515663712,-0.4371157666509327
0.324,0.8938414241512639,-0.4483832160900321,0.986685944207868,0.16263716519488372,0.7026499697988492,0.7115356772092853,0.15022558912075684,0.9886517447379141,0,1,0.8938414241512639,-0.4483832160900321
0.326,0.8881364488135446,-0.4595798606214878,0.9886517447379141,0.15022558912075706,0.7115356772092853,0.7026499697988492,0.1626371651948834,0.986685944207868,0,1,0.8881364488135446,-0.4595798606214878
0.328,0.8822912264349533,-0.47070393216533263,0.9904614256966512,0.13779029068463797,0.7203090248879069,0.6936533058128049,0.17502305897527584,0.9845643345292053,0,1,0.8822912264349533,-0.47070393216533263
0.33,0.8763066800438635,-0.48175367410171543,0.9921147013144779,0.12533323356430426,0.7289686274214116,0.6845471059286886,0.18738131458572443,0.9822872507286887,0,1,0.8763066800438635,-0.48175367410171543
0.332,0.8701837546695257,-0.49272734154829145,0.9936113105200084,0.1128563848734816,0.7375131173581739,0.6753328081210244,0.19970998051440686,0.9798550523842469,0,1,0.8701837546695257,-0.49272734154829145
0.334,0.8639234171928354,-0.5036232016357608,0.9949510169813002,0.10036171485121491,0.7459411454241821,0.6660118674342516,0.21200710992205446,0.9772681235681935,0,1,0.8639234171928354,-0.5036232016357608
0.336,0.8575266561936522,-0.5144395337815065,0.9961336091431725,0.08785119655074332,0.7542513807361038,0.6565857557529564,0.224270760949381,0.9745268727865771,0,1,0.8575266561936522,-0.5144395337815065
0.338,0.8509944817946917,-0.5251746299612958,0.9971589002606139,0.07532680552793275,0.7624425110114479,0.6470559615694443,0.23649899702372454,0.971631732914674,0,1,0.8509944817946917,-0.5251746299612958
0.34,0.844327925502015,-0.5358267949789969,0.9980267284282716,0.06279051952931353,0.7705132427757893,0.6374239897486896,0.24868988716485466,0.9685831611286311,0,1,0.844327925502015,-0.5358267949789969
0.342,0.8375280400421418,-0.546394346734269,0.9987369566060175,0.0502443181797696,0.7784623015670233,0.6276913612907006,0.26084150628989683,0.9653816388332739,0,1,0.8375280400421418,-0.546394346734269
0.344,0.8305958991958129,-0.5568756164881876,0.9992894726405892,0.03769018266993487,0.7862884321366187,0.6178596130903345,0.2729519355173247,0.962027671586086,0,1,0.8305958991958129,-0.5568756164881876
0.346,0.8235325976284276,-0.5672689491267563,0.9996841892832999,0.025130095443337705,0.7939903986478352,0.6079302976946056,0.28501926246997566,0.958521789017376,0,1,0.8235325976284276,-0.5672689491267563
0.348,0.816339250717184,-0.5775727034222674,0.9999210442038161,0.012566039883352951,0.8015669848708764,0.597904983057519,0.2970415815770345,0.9548645447466431,0,1,0.816339250717184,-0.5775727034222674
0.35,0.8090169943749475,-0.587785252292473,1,2.3592239273284576e-16,0.8090169943749473,0.5877852522924732,0.309016994374947,0.9510565162951536,0,1,0.8090169943749475,-0.587785252292473
0.352,0.8015669848708769,-0.5979049830575185,0.9999210442038161,-0.012566039883352653,0.8163392507171838,0.5775727034222677,0.3209436098072091,0.9470983049947445,0,1,0.8015669848708769,-0.5979049830575185
0.354,0.7939903986478355,-0.6079302976946052,0.9996841892832999,-0.025130095443337407,0.8235325976284273,0.5672689491267566,0.33281954452298623,0.9429905358928646,0,1,0.7939903986478355,-0.6079302976946052
0.356,0.786288432136619,-0.6178596130903342,0.9992894726405892,-0.037690182669934576,0.8305958991958124,0.5568756164881882,0.34464292317451667,0.9387338576538742,0,1,0.786288432136619,-0.6178596130903342
0.358,0.7784623015670235,-0.6276913612907004,0.9987369566060175,-0.05024431817976947,0.8375280400421415,0.5463943467342692,0.35641187871325036,0.9343289424566121,0,1,0.7784623015670235,-0.6276913612907004
